# Matter power spectrum P(k) at redshift z=0
# for k=2.09468e-07 to 54.0596 h/Mpc,
# number of wavenumbers equal to 6840
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.694216198658e-04       7.053105558821e+02 
       1.702184810615e-04       7.085065357038e+02 
       1.710166944844e-04       7.117073478389e+02 
       1.718162681429e-04       7.149130236719e+02 
       1.726172100793e-04       7.181235946948e+02 
       1.734195283707e-04       7.213390925078e+02 
       1.742232311284e-04       7.245595488202e+02 
       1.750283264987e-04       7.277849954516e+02 
       1.758348226629e-04       7.310154643326e+02 
       1.766427278375e-04       7.342509875058e+02 
       1.774520502747e-04       7.374915971265e+02 
       1.782627982621e-04       7.407373254640e+02 
       1.790749801233e-04       7.439882049022e+02 
       1.798886042183e-04       7.472442679406e+02 
       1.807036789433e-04       7.505055471952e+02 
       1.815202127309e-04       7.537720753997e+02 
       1.823382140510e-04       7.570438854058e+02 
       1.831576914103e-04       7.603210101847e+02 
       1.839786533527e-04       7.636034828278e+02 
       1.848011084600e-04       7.668913365475e+02 
       1.856250653514e-04       7.701846046784e+02 
       1.864505326843e-04       7.734833206780e+02 
       1.872775191544e-04       7.767875181275e+02 
       1.881060334956e-04       7.800972307331e+02 
       1.889360844810e-04       7.834124923267e+02 
       1.897676809221e-04       7.867333368668e+02 
       1.906008316700e-04       7.900597984394e+02 
       1.914355456150e-04       7.933919112591e+02 
       1.922718316873e-04       7.967297096697e+02 
       1.931096988568e-04       8.000732281457e+02 
       1.939491561336e-04       8.034225012925e+02 
       1.947902125684e-04       8.067775638479e+02 
       1.956328772524e-04       8.101384506826e+02 
       1.964771593176e-04       8.135051968016e+02 
       1.973230679374e-04       8.168778373447e+02 
       1.981706123263e-04       8.202564075876e+02 
       1.990198017407e-04       8.236409429428e+02 
       1.998706454788e-04       8.270314789607e+02 
       2.007231528809e-04       8.304280513303e+02 
       2.015773333297e-04       8.338306958802e+02 
       2.024331962506e-04       8.372394485795e+02 
       2.032907511119e-04       8.406543455390e+02 
       2.041500074251e-04       8.440754230116e+02 
       2.050109747449e-04       8.475027173939e+02 
       2.058736626698e-04       8.509362652266e+02 
       2.067380808425e-04       8.543761031957e+02 
       2.076042389494e-04       8.578222681333e+02 
       2.084721467216e-04       8.612747970187e+02 
       2.093418139350e-04       8.647337269791e+02 
       2.102132504102e-04       8.681990952910e+02 
       2.110864660132e-04       8.716709393805e+02 
       2.119614706556e-04       8.751492968248e+02 
       2.128382742945e-04       8.786342053528e+02 
       2.137168869331e-04       8.821257028461e+02 
       2.145973186210e-04       8.856238273404e+02 
       2.154795794542e-04       8.891286170255e+02 
       2.163636795757e-04       8.926401102472e+02 
       2.172496291754e-04       8.961583455076e+02 
       2.181374384907e-04       8.996833614667e+02 
       2.190271178065e-04       9.032151969424e+02 
       2.199186774556e-04       9.067538909123e+02 
       2.208121278192e-04       9.102994825145e+02 
       2.217074793266e-04       9.138520110480e+02 
       2.226047424561e-04       9.174115159742e+02 
       2.235039277347e-04       9.209780369180e+02 
       2.244050457391e-04       9.245516136679e+02 
       2.253081070950e-04       9.281322861780e+02 
       2.262131224784e-04       9.317200945682e+02 
       2.271201026150e-04       9.353150791254e+02 
       2.280290582812e-04       9.389172803044e+02 
       2.289400003038e-04       9.425267387292e+02 
       2.298529395607e-04       9.461434951935e+02 
       2.307678869808e-04       9.497675906616e+02 
       2.316848535448e-04       9.533990662699e+02 
       2.326038502849e-04       9.570379633274e+02 
       2.335248882856e-04       9.606843233167e+02 
       2.344479786833e-04       9.643381878952e+02 
       2.353731326676e-04       9.679995988959e+02 
       2.363003614806e-04       9.716685983281e+02 
       2.372296764177e-04       9.753452283788e+02 
       2.381610888279e-04       9.790295314134e+02 
       2.390946101137e-04       9.827215499767e+02 
       2.400302517319e-04       9.864213267940e+02 
       2.409680251935e-04       9.901289047716e+02 
       2.419079420642e-04       9.938443269984e+02 
       2.428500139645e-04       9.975676367464e+02 
       2.437942525704e-04       1.001298877472e+03 
       2.447406696129e-04       1.005038092815e+03 
       2.456892768793e-04       1.008785326605e+03 
       2.466400862127e-04       1.012540622855e+03 
       2.475931095126e-04       1.016304025767e+03 
       2.485483587351e-04       1.020075579733e+03 
       2.495058458935e-04       1.023855329334e+03 
       2.504655830580e-04       1.027643319342e+03 
       2.514275823566e-04       1.031439594720e+03 
       2.523918559751e-04       1.035244200625e+03 
       2.533584161573e-04       1.039057182407e+03 
       2.543272752055e-04       1.042878585610e+03 
       2.552984454808e-04       1.046708455975e+03 
       2.562719394031e-04       1.050546839438e+03 
       2.572477694518e-04       1.054393782133e+03 
       2.582259481658e-04       1.058249330392e+03 
       2.592064881441e-04       1.062113530747e+03 
       2.601894020455e-04       1.065986429929e+03 
       2.611747025897e-04       1.069868074872e+03 
       2.621624025569e-04       1.073758512710e+03 
       2.631525147886e-04       1.077657790781e+03 
       2.641450521874e-04       1.081565956627e+03 
       2.651400277180e-04       1.085483057994e+03 
       2.661374544068e-04       1.089409142835e+03 
       2.671373453423e-04       1.093344259308e+03 
       2.681397136760e-04       1.097288455780e+03 
       2.691445726220e-04       1.101241780826e+03 
       2.701519354576e-04       1.105204283230e+03 
       2.711618155236e-04       1.109176011987e+03 
       2.721742262246e-04       1.113157016302e+03 
       2.731891810291e-04       1.117147345593e+03 
       2.742066934701e-04       1.121147049490e+03 
       2.752267771452e-04       1.125156177839e+03 
       2.762494457170e-04       1.129174780698e+03 
       2.772747129133e-04       1.133202908342e+03 
       2.783025925275e-04       1.137240611262e+03 
       2.793330984187e-04       1.141287940168e+03 
       2.803662445122e-04       1.145344945985e+03 
       2.814020447998e-04       1.149411679861e+03 
       2.824405133399e-04       1.153488193159e+03 
       2.834816642581e-04       1.157574537468e+03 
       2.845255117471e-04       1.161670764595e+03 
       2.855720700674e-04       1.165776926572e+03 
       2.866213535471e-04       1.169893075651e+03 
       2.876733765829e-04       1.174019264311e+03 
       2.887281536396e-04       1.178155545256e+03 
       2.897856992511e-04       1.182301971413e+03 
       2.908460280200e-04       1.186458595939e+03 
